Start Time,End Time,Type,Comments,,
Mon Mar 17 10:05:14 PDT 2014,Mon Mar 17 10:05:18 PDT 2014,Non-walk trip,Activity,Work,McLaughlin Hall
Mon Mar 17 10:05:18 PDT 2014,Mon Mar 17 17:37:25 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Mon Mar 17 17:37:25 PDT 2014,Mon Mar 17 17:54:55 PDT 2014,Walk trip,Trip,Walk,
Mon Mar 17 17:54:55 PDT 2014,Mon Mar 17 18:00:55 PDT 2014,Activity,Trip,Walk,
Mon Mar 17 18:00:55 PDT 2014,Mon Mar 17 18:01:16 PDT 2014,Non-walk trip,Trip,Walk,
Mon Mar 17 18:01:16 PDT 2014,Mon Mar 17 18:32:14 PDT 2014,Activity,Activity,Waiting,Bus Stop
Mon Mar 17 18:32:14 PDT 2014,Mon Mar 17 18:34:35 PDT 2014,Walk trip,Trip,Transit,AC_Transit
Mon Mar 17 18:34:35 PDT 2014,Mon Mar 17 18:44:46 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Mon Mar 17 18:44:46 PDT 2014,Mon Mar 17 19:27:09 PDT 2014,Activity,Activity,Meals Sleep,Home
Mon Mar 17 19:27:09 PDT 2014,Mon Mar 17 20:33:49 PDT 2014,Activity,Activity,Meals Sleep,Home
