Start Time,End Time,Type,Comments,,
Fri Mar 07 12:32:50 PST 2014,Fri Mar 07 12:36:22 PST 2014,Walk trip,Trip,Walk,
Fri Mar 07 12:36:22 PST 2014,Fri Mar 07 15:52:42 PST 2014,Hole,Hole,,
Fri Mar 07 15:52:42 PST 2014,Fri Mar 07 17:38:39 PST 2014,Activity,Activity,Davis Hall,
Fri Mar 07 17:38:39 PST 2014,Fri Mar 07 17:42:23 PST 2014,Non-walk trip,Trip,Bike,
Fri Mar 07 17:42:23 PST 2014,Fri Mar 07 17:51:28 PST 2014,Activity,Activity,Waiting,BART Station
Fri Mar 07 17:51:28 PST 2014,Fri Mar 07 17:56:57 PST 2014,Non-walk trip,Trip,Transit,BART
Fri Mar 07 17:56:57 PST 2014,Fri Mar 07 18:04:02 PST 2014,Walk trip,Trip,Transit,BART
Fri Mar 07 18:04:02 PST 2014,Fri Mar 07 18:06:15 PST 2014,Non-walk trip,Trip,Transit,BART
Fri Mar 07 18:06:15 PST 2014,Fri Mar 07 18:12:30 PST 2014,Walk trip,Trip,Transit,BART
Fri Mar 07 18:12:30 PST 2014,Fri Mar 07 18:16:22 PST 2014,Non-walk trip,Trip,Transit,BART
Fri Mar 07 18:16:22 PST 2014,Fri Mar 07 18:19:10 PST 2014,Walk trip,Trip,Transit,BART
Fri Mar 07 18:19:10 PST 2014,Fri Mar 07 18:25:28 PST 2014,Activity,Trip,Transit,BART
Fri Mar 07 18:25:28 PST 2014,Fri Mar 07 18:49:51 PST 2014,Non-walk trip,Trip,Bike,
Fri Mar 07 18:49:51 PST 2014,Fri Mar 07 20:10:45 PST 2014,Activity,Activity,Meals,L'Ardoise
Fri Mar 07 20:10:45 PST 2014,Fri Mar 07 20:14:11 PST 2014,Walk trip,Trip,Walk,
Fri Mar 07 20:14:11 PST 2014,Fri Mar 07 20:34:59 PST 2014,Activity,Activity,Recreation,Duboce Park
Fri Mar 07 20:34:59 PST 2014,Fri Mar 07 20:37:46 PST 2014,Non-walk trip,Trip,Bike,
Fri Mar 07 20:37:46 PST 2014,Fri Mar 07 20:47:46 PST 2014,Activity,Activity,Social,Mark's
