Start Time,End Time,Type,Comments,,
Fri Mar 14 09:27:37 PDT 2014,Fri Mar 14 09:33:22 PDT 2014,Walk trip,Trip,Bike,
Fri Mar 14 09:33:22 PDT 2014,Fri Mar 14 09:42:20 PDT 2014,Non-walk trip,Trip,Bike,
Fri Mar 14 09:42:20 PDT 2014,Fri Mar 14 10:35:43 PDT 2014,Activity,Activity,Medical,Alta Bates
Fri Mar 14 10:35:43 PDT 2014,Fri Mar 14 10:44:06 PDT 2014,Non-walk trip,Trip,Bike,
Fri Mar 14 10:44:06 PDT 2014,Fri Mar 14 12:27:07 PDT 2014,Hole,Hole,,
Fri Mar 14 12:27:07 PDT 2014,Fri Mar 14 12:28:29 PDT 2014,Non-walk trip,Trip,Walk,
Fri Mar 14 12:28:29 PDT 2014,Fri Mar 14 12:48:44 PDT 2014,Activity,Activity,Meals,D'yar
Fri Mar 14 12:48:44 PDT 2014,Fri Mar 14 12:49:44 PDT 2014,Non-walk trip,Trip,Walk,
Fri Mar 14 12:49:44 PDT 2014,Fri Mar 14 18:07:52 PDT 2014,Hole,Hole,,
Fri Mar 14 18:07:52 PDT 2014,Fri Mar 14 18:15:15 PDT 2014,Non-walk trip,Trip,Bike,
Fri Mar 14 18:15:15 PDT 2014,Fri Mar 14 18:21:56 PDT 2014,Activity,Activity,Relaxing,
Fri Mar 14 18:21:56 PDT 2014,Fri Mar 14 18:24:09 PDT 2014,Non-walk trip,Trip,Bike,
Fri Mar 14 18:24:09 PDT 2014,Fri Mar 14 19:26:42 PDT 2014,Activity,Activity,Social,Dave's
Fri Mar 14 19:26:42 PDT 2014,Fri Mar 14 19:30:23 PDT 2014,Walk trip,Trip,Walk,
Fri Mar 14 19:30:23 PDT 2014,Fri Mar 14 19:37:15 PDT 2014,Activity,Activity,Shopping,Whole Food's
Fri Mar 14 19:37:15 PDT 2014,Fri Mar 14 19:43:26 PDT 2014,Activity,Activity,Shopping,Whole Food's
Fri Mar 14 19:43:26 PDT 2014,Fri Mar 14 19:44:57 PDT 2014,Non-walk trip,Trip,Walk,
Fri Mar 14 19:44:57 PDT 2014,Fri Mar 14 19:49:45 PDT 2014,Walk trip,Trip,Walk,
