Start Time,End Time,Type,Comments,,
Tue Mar 11 09:36:17 PDT 2014,Tue Mar 11 09:45:46 PDT 2014,Activity,Activity,,
Tue Mar 11 09:45:46 PDT 2014,Tue Mar 11 09:56:41 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Tue Mar 11 09:56:41 PDT 2014,Tue Mar 11 10:02:11 PDT 2014,Walk trip,Trip,Walk,
Tue Mar 11 10:02:11 PDT 2014,Tue Mar 11 10:04:51 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 10:04:51 PDT 2014,Tue Mar 11 10:10:54 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Tue Mar 11 10:10:54 PDT 2014,Tue Mar 11 10:19:16 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Tue Mar 11 10:19:16 PDT 2014,Tue Mar 11 11:53:35 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Tue Mar 11 11:53:35 PDT 2014,Tue Mar 11 11:55:44 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 11:55:44 PDT 2014,Tue Mar 11 12:01:35 PDT 2014,Walk trip,Activity,Meals,Urban Turban
Tue Mar 11 12:01:35 PDT 2014,Tue Mar 11 12:08:50 PDT 2014,Activity,Trip,Walk,
Tue Mar 11 12:08:50 PDT 2014,Tue Mar 11 17:21:22 PDT 2014,Activity,Activity,Work,McLaughlin Hall
Tue Mar 11 17:21:22 PDT 2014,Tue Mar 11 17:24:09 PDT 2014,Non-walk trip,Trip,Walk,
Tue Mar 11 17:24:09 PDT 2014,Tue Mar 11 17:48:21 PDT 2014,Walk trip,Trip,Transit,AC_Transit
Tue Mar 11 17:48:21 PDT 2014,Tue Mar 11 17:54:27 PDT 2014,Activity,Activity,Household_chores,Home
Tue Mar 11 17:54:27 PDT 2014,Tue Mar 11 18:52:50 PDT 2014,Activity,Activity,Household_chores,Home
Tue Mar 11 18:52:50 PDT 2014,Tue Mar 11 18:58:18 PDT 2014,Non-walk trip,Trip,Transit,AC_Transit
Tue Mar 11 18:58:18 PDT 2014,Tue Mar 11 19:02:22 PDT 2014,Walk trip,Trip,Transit,AC_Transit
